no,notes,Rufa_subpop,track_data,movebank_name,move_bank_no. ,Project,LotekSerialNum,Program_number,tag-manufacturer-name,tag-model,tag-mass,repetition_no,duty-cycle,tag-comment,ArgosID,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,,Banding_or_recapture_Date,deploy-on-timestamp,Location,Band Number,animal-marker-id,animal-id,Code,AGE,SEX,deploy-on-measurements,WEIGHT,FIRE TIME,Lapsed minutes,deploy_d,deploy_m,deply_y
0,,,,,,to be split by study,tag-serial-no,Program_number,tag-manufacturer-name,tag-model,tag-mass,tag-beacon-frequency,duty-cycle,tag-comment,tag-id,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,deployment-id,deploy-on-date,deploy-on-timestamp,study-site,animal-ring-id,animal-marker-id,animal-id,Code,animal-life-stage,animal-sex,deploy-on-measurements,animal-mass,capture-timestamp,capture-handling-time,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369C5F,,Lotek,Loteck 5/PPT-10,4,60,,signal failed-Bird resighted later,180292,glued,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64789,,,FEW(MAL),AHY,F," '{culmenInmillimeters:34.8, theadInMillimeters: , wingInMillimeters: 166}'",133.0,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369C6A,,Lotek,Loteck 5/PPT-10,4,60,,,180293,neck-loop harness,,,50.192778,-63.745278,,2020/09/01,2020/09/01 00:00:00.00,MINGAN_NIAPISKAU,9802-82320,,,FEW(MEX),HY,F," '{culmenInmillimeters:35.2, theadInMillimeters: , wingInMillimeters: 162}'",138.2,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369C79,,Lotek,Loteck 5/PPT-10,4,60,,,180294,neck-loop harness,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64787,,,FEW(MAV),AHY,M," '{culmenInmillimeters:37.2, theadInMillimeters: , wingInMillimeters: 163}'",146.0,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369C8B,,Lotek,Loteck 5/PPT-10,4,60,,Signal failed but don't know if bird alive,180295,glued,,,50.193056,-63.854722,,2020/10/02,2020/10/02 00:00:00.00,MINGAN_GRANDE,9802-82363,,,FEW(MCK),HY,M," '{culmenInmillimeters:35.1, theadInMillimeters: , wingInMillimeters: 161}'",127.5,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369C98,,Lotek,Loteck 5/PPT-10,4,60,,,180296,neck-loop harness,,,50.193056,-63.854722,,2020/10/02,2020/10/02 00:00:00.00,MINGAN_GRANDE,9802-82360,,,FEW(MCE),HY,F," '{culmenInmillimeters:37.7, theadInMillimeters: , wingInMillimeters: 170}'",134.4,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369CAD,,Lotek,Loteck 5/PPT-10,4,60,,signal failed-Bird resighted later,180297,glued,,,50.192778,-63.745278,,2020/09/01,2020/09/01 00:00:00.00,MINGAN_NIAPISKAU,9802-82321,,,FEW(MEN),HY,F," '{culmenInmillimeters:33.2, theadInMillimeters: , wingInMillimeters: 158}'",134.2,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369CBE,,Lotek,Loteck 5/PPT-10,4,60,,,180298,neck-loop harness,,,50.192778,-63.745278,,2020/09/01,2020/09/01 00:00:00.00,MINGAN_NIAPISKAU,802-64799,,,FEW(MEE),HY,M," '{culmenInmillimeters:35.2, theadInMillimeters: , wingInMillimeters: 160}'",137.3,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,6369CC7,,Lotek,Loteck 5/PPT-10,4,60,,,180299,neck-loop harness,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64786,,,FEW(MAA),AHY,M," '{culmenInmillimeters:32.8, theadInMillimeters: , wingInMillimeters: 161}'",131.0,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,F74BD35,,Lotek,Loteck 5/PPT-10,4,60,,,180300,glued,,,50.193056,-63.854722,,2020/10/02,2020/10/02 00:00:00.00,MINGAN_GRANDE,9802-82362,,,FEW(MCJ),HY,F," '{culmenInmillimeters:36.6, theadInMillimeters: , wingInMillimeters: 166}'",132.1,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,F74BD4C,,Lotek,Loteck 5/PPT-10,4,60,,,194899,neck-loop harness,,,50.192778,-63.745278,,2020/09/01,2020/09/01 00:00:00.00,MINGAN_NIAPISKAU,9802-82322,,,FEW(MET),HY,F," '{culmenInmillimeters:34.5, theadInMillimeters: , wingInMillimeters: 164}'",142.2,,,,,
